"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",6.80460293458536,6.3649803085767,0,0,0,0,0,0,0,0,0,0,0,0
"2",7.41925192600508,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",7.1621900860634,7.04440488662747,7.01668257202136,6.25385373815001,5.51603525557323,5.49929453616577,5.04428050477781,4.79181402267445,4.52480818276248,4.46632248639612,4.46419817168552,4.27027359553685,3.81637550282554,3.69079564620722
"11",6.24691947321415,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",6.21111568768749,5.63651521299663,0,0,0,0,0,0,0,0,0,0,0,0
"13",6.22609998822348,5.70199978880734,4.5953312899676,4.50378237296658,3.41580193733752,2.95670306526005,2.74996548615265,0,0,0,0,0,0,0
"14",5.81836539986793,5.66519599018608,0,0,0,0,0,0,0,0,0,0,0,0
"15",6.09961591099787,4.67443071335895,4.67176981567704,0,0,0,0,0,0,0,0,0,0,0
"16",5.54010888270449,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",5.26445388947548,4.27575206184287,0,0,0,0,0,0,0,0,0,0,0,0
"20",5.84447595009229,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",5.87288278945548,5.17811559621501,4.6901337286823,4.52979969783476,4.34161235925659,4.28359991059694,0,0,0,0,0,0,0,0
"23",5.49617636924236,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",5.07806332387574,4.36780248778596,0,0,0,0,0,0,0,0,0,0,0,0
"28",5.31629269327241,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",4.58480347957729,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",5.06580743930296,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",4.02945295451351,3.77046226098411,0,0,0,0,0,0,0,0,0,0,0,0
"35",4.36947416843584,3.60110806886756,2.72327361776138,0,0,0,0,0,0,0,0,0,0,0
"36",4.93482605505891,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",4.58743600141943,3.71129940298997,3.62788441274354,3.38676750026756,2.84503644852031,2.45463410353674,0,0,0,0,0,0,0,0
"38",5.01612181039687,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",4.11879051730247,3.57470684821091,3.25223126839446,3.14930946347908,0,0,0,0,0,0,0,0,0,0
"51",3.00958613648253,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",4.56862780138657,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",3.66803062102346,3.5639779316399,0,0,0,0,0,0,0,0,0,0,0,0
"56",4.39276613373763,4.31854146914095,3.7577303033751,0,0,0,0,0,0,0,0,0,0,0
"59",4.21012636111,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",2.90968449321648,2.63518072200629,2.50535668743599,1.49970518886691,1.45154910389623,0,0,0,0,0,0,0,0,0
"64",3.70740048769895,3.43382909389642,0,0,0,0,0,0,0,0,0,0,0,0
"65",3.42130546541647,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",3.80143399370535,2.5363369174601,2.47424711883936,2.31768750925239,1.9715573324213,1.30577304796526,1.08341928366313,1.06050179356564,0.997331640817324,0.900731528490347,0.425672452212257,0,0,0
"71",3.1987308567646,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",2.27683130704973,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",2.42650016610409,2.26734454820798,0,0,0,0,0,0,0,0,0,0,0,0
"79",3.32374643660153,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",3.07907475308551,2.93647867666563,0,0,0,0,0,0,0,0,0,0,0,0
"90",2.98633103426166,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",2.6226918597007,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",2.56117708202497,2.10254635900176,0,0,0,0,0,0,0,0,0,0,0,0
"99",2.04740427131344,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",2.17572608604729,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",1.75382007787809,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",0.938116686584615,0,0,0,0,0,0,0,0,0,0,0,0,0
